pid,name,priceValue,color,gender,group,availability,shortDesc,longDesc,material,dimensions,strap,madeIn,features,sizes,images,url,mood
MESGSAH01BK036,Skywander 니트 로우탑 스니커즈,790000,Black,WOMEN,SHOES,OutOfStock,송아지 가죽 트림과 라우렐에서 영감을 받은 러버 아웃솔이 더해진 이탈리아산 베프릭 니트 로우 탑 스니커즈,"러닝 슈즈에서 영감을 받은 스니커즈로, 경량의 기능성 니트 어퍼에 이탈리아산 카프 레더와 비세토스 캔버스 디테일로 완성되었습니다. 클래식 MCM 로고, 3D 라우렐 패턴 아웃솔, 힐의 시그니처 리본, 뒷면의 바이에른 다이아몬드 가죽 패치 등 장인정신이 깃든 디테일이 돋보입니다.",트림: 이탈리안 카프 레더와 비세토스 모노그램 캔버스,,,이탈리아,뒷 부분의 바이에른 다이아몬드 패치 | 텅 부분의 가죽 로고 디테일 | 카프 레더 풀 탭 | 힐 부분의 라우렐 리본 모티프 | 3D 라우렐 모티브가 돋보이는 러버 아웃솔 | 엔지니어드 니트 어퍼,36 IT / 여성 | 37 IT / 여성 | 38 IT / 여성 | 39 IT / 여성 | 40 IT / 여성 | 41 IT / 남성 | 42 IT / 남성 | 43 IT / 남성,https://images.mcmworldwide.com/i/mcmworldwide/MESGSAH01BK036_01?sw=600,https://kr.mcmworldwide.com/ko_KR/여성/슈즈/모두보기/skywander-니트-로우탑-스니커즈/MESGSAH01BK036.html,캐주얼
MXBGSTA04BK001,"Aren 갤럭틱 갈라 가죽 2"" 벨트",470000,Black,MEN,ACCESSORY,InStock,갤럭틱 갈라 메탈 스터드와 바이에른 다이아몬드 메탈 버클이 조화를 이루는 램스킨 레더 벨트,"부드러운 램스킨 가죽으로 정교하게 완성된 벨트. 둥근 메탈 스터드 장식이 이번 시즌의 천체적 테마인 ‘갤러틱 갈라’를 표현하며, 뮌헨 바이에른 다이아몬드에서 영감을 받은 정교한 실루엣의 버클 디자인이 스타일을 한층 끌어올립니다.",100% 양가죽,,,대한민국,갤럭틱 갈라 메탈 스터드 | MCM 로고 모티프가 더해진 벨트 고리 | 실버톤 바바리안 다이아몬드 메탈 버클,,https://images.mcmworldwide.com/i/mcmworldwide/MXBGSTA04BK001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBGSTA04BK001_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBGSTA04BK001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBGSTA04BK001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBGSTA04BK001_10?sw=600,"https://kr.mcmworldwide.com/ko_KR/남성/패션소품/모두보기/aren-갤럭틱-갈라-가죽-2""-벨트/MXBGSTA04BK001.html",스트릿
MXZFSTA12CO001,Aren French Bulldog Charm in Visetos,390000,Cognac,MEN,ACCESSORY,InStock,Visetos monogram canvas French Bulldog charm with logo-engraved spring clasp and key ring,"Crafted from classic cognac Visetos canvas, this French Bulldog charm boasts the signature monogram of the Munich House. Attach the artisanal accessory to your favorite bag or backpack to gain a faithful companion on adventures.",Body: Visetos monogram canvas,,,대한민국,Logo-engraved spring clasp and key ring | 24k gold-plated metal hardware,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZFSTA12CO001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFSTA12CO001_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFSTA12CO001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFSTA12CO001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFSTA12CO001_10?sw=600,https://kr.mcmworldwide.com/ko_KR/남성/패션소품/모두보기/aren-french-bulldog-charm-in-visetos/MXZFSTA12CO001.html,캐주얼
MXZFAAK03Y0001,Diamant 3D 카프 레더 참,530000,Gold,WOMEN,ACCESSORY,InStock,송아지 가죽 소재의 백 참과 함께 제공되는 체인 스트랩,"아이코닉한 디아망뜨 3D 백을 손에 쥘 수 있는 컴팩트한 사이즈의 액세서리로 재해석했습니다. 스페인산 송아지 가죽으로 정교하게 제작되었으며, 골드 톤 체인 스트랩과 작고 실용적인 지퍼 수납 공간이 특징입니다.",바디: 스페인산 송아지 가죽,약 7 x 13 x 9 센티미터,,대한민국,탈부착 가능한 체인 스트랩 | 양방향 지퍼 클로저 | 24K 골드 도금 메탈 하드웨어 | 코튼 트윌 안감,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZFAAK03Y0001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFAAK03Y0001_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFAAK03Y0001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFAAK03Y0001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFAAK03Y0001_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFAAK03Y0001_10?sw=600,https://kr.mcmworldwide.com/ko_KR/여성/패션소품/모두보기/디아망뜨-스페니쉬-송아지-가죽-3d-참/MXZFAAK03Y0001.html,캐주얼
MXZESTA03BK001,Aren 비세토스 다이아몬드 로고 키 홀더,210000,Black,MEN,ACCESSORY,OutOfStock,24K 도금 금속 장식과 로고 인그레이빙 연결 고리가 있는 비세토스 키 홀더,천연 나파 가죽과 바이에른 다이아몬드 스타일의 금속 장식으로 장식된 시그니처 비세토스 모노그램 키 홀더입니다. 로고 인그레이빙 연결 고리를 사용해서 즐겨 사용하는 가방에 고정할 수 있습니다.,바디: 비세토스 모노그램 캔버스 | 트림: 나파 가죽,약 2 x 3 x 9 센티미터,,대한민국,로고 인그레이빙 연결 고리 및 키링 | 다이아몬드 모티프 로고 장식 | 다크 실버톤 금속 장식,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZESTA03BK001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZESTA03BK001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/남성/패션소품/가방-액세서리-키링/aren-비세토스-다이아몬드-로고-키-홀더/MXZESTA03BK001.html,클래식
MXZFATA10CO001,Aren 비세토스 바이컬러 다이아몬드 키 참,190000,Cognac,MEN,ACCESSORY,InStock,24K 골드 도금 메탈 하드웨어가 장식이 더해진 비세토스 모노그램 캔버스 키 홀더 참,"뮌헨의 바이에른 다이아몬드에서 영감을 받은 이 비세토스 모노그램 참은 검정색과 코냑톤을 서로 다른 면에 배치한 디자인이 특징입니다. 24k 골드 도금된 하드웨어를 사용하였으며 라우렐 로고 장식이 더해져 있습니다. 스프링 잠금 장치가 있어 키링으로 사용이 가능하며, 좋아하는 가방이나 백팩에 부착할 수 있습니다.",바디:비세토스 모노그램 캔버스,약 0 x 8 x 12 센티미터,,대한민국,라우렐 로고 참 | 키링 | 로고가 각인된 스프링 잠금장치 | 24K 골드 도금 메탈 하드웨어,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZFATA10CO001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFATA10CO001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/남성/패션소품/가방-액세서리-키링/aren-비세토스-바이컬러-다이아몬드-키-참/MXZFATA10CO001.html,캐주얼
MXZGATA19PZ001,모노그램 프린트 레더 2D Stark 비세토스 백팩 참,290000,Pink,MEN,ACCESSORY,InStock,"비스토스 모노그램 프린트가 돋보이는 나파 레더 참으로, 키 링과 레더 스트랩이 함께 구성되었습니다.","하우스의 시그니처이자 아이코닉한 Stark 백팩은, 고유의 실루엣과 디테일을 살린 2D 레더 참으로 재해석되었습니다. 레더 스트랩과 키 링 클라스프가 더해져 다양한 방식으로 연출할 수 있습니다.",바디:나파 레더,,,대한민국,가죽 스트랩 | 키 링 클라스프 | 비세토스 모노그램 프린트 | 로고 브라스 플레이트 | 엠보싱 처리된 MCM 로고 모티프가 돋보이는 뒷면 | 16K 골드 도금 메탈 하드웨어 | 스트랩 드롭: 19cm,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA19PZ001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA19PZ001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/남성/패션소품/모두보기/모노그램-프린트-레더-2d-stark-비세토스-백팩-참-/MXZGATA19PZ001.html,캐주얼
MXZGATA20PZ001,모노그램 프린트 레더 2D Ella 비세토스 보스턴 참,290000,Pink,MEN,ACCESSORY,InStock,"비스토스 모노그램 프린트가 돋보이는 나파 레더 참으로, 키 링과 레더 스트랩이 함께 구성되었습니다.","뮌헨의 황금기에서 영감을 받아 탄생한 Ella 보스턴 백은, 헤리티지 디자인의 우아함을 고스란히 담아낸 2D 레더 참으로 새롭게 선보입니다. 레더 스트랩과 키 링 클라스프를 더해 다채로운 스타일링이 가능합니다.",바디:나파 레더,,,대한민국,가죽 스트랩 | 키 링 클라스프 | 비세토스 모노그램 프린트 | 로고 브라스 플레이트 | 엠보싱 처리된 MCM 로고 모티프가 돋보이는 뒷면 | 16K 골드 도금 메탈 하드웨어 | 스트랩 드롭: 19cm,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA20PZ001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA20PZ001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/남성/패션소품/모두보기/모노그램-프린트-레더-2d-ella-비세토스-보스턴-참/MXZGATA20PZ001.html,캐주얼
MXZGSTA15PK001,Aren 인조 퍼 비세토스 마스도그 참,410000,Pink,MEN,ACCESSORY,InStock,비세토스 모노그램 캔버스 트리밍을 더한 인조 퍼 마스도그 참. 로고 각인 키링과 가죽 스트랩 구성,"시즌을 대표하는 위트 있는 캐릭터, 마스도그 참은 선명한 핑크 컬러의 인조 퍼 바디와 블랙 비세토스 캔버스 디테일이 어우러져 시그니처 감성을 완성합니다. 로고 키링과 가죽 스트랩을 더해 기능성과 활용도를 높였습니다.",바디:페이크 퍼 | 트림: 비세토스 모노그램 캔버스,약 10 x 17 x 17 센티미터,스트랩 길이: 21cm,대한민국,가죽 스트랩 | 로고 각인 키링 | 24K 골드 도금 브라스 하드웨어,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZGSTA15PK001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGSTA15PK001_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGSTA15PK001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/남성/패션소품/모두보기/aren-인조-퍼-비세토스-마스도그-참/MXZGSTA15PK001.html,캐주얼
MXZFATA04PZ001,Aren 비세토스 우주 토끼 참,510000,Pink,MEN,ACCESSORY,InStock,천연 가죽 트림과 로고가 새겨진 스프링 잠금장치가 더해진 비세토스 모노그램 캔버스 토끼 참,뮌헨 하우스의 모험 정신에서 영감을 받은 이 비세토스 참은 광활한 우주를 탐험하는 우주비행사로 표현된 장난기 가득한 MCM 토끼를 담고 있습니다. 우주복의 헬멧과 벨트에는 천연 가죽 디테일을 더해 완성도를 높였습니다.,바디: 비세토스 모노그램 캔버스 | 트림: 천연가죽,약 9 x 6 x 15 센티미터,,대한민국,가죽 스트랩 | 로고가 각인된 스프링 잠금장치 | 24K 골드 도금 메탈 하드웨어 | 스트랩 드롭: 21cm,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZFATA04PZ001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFATA04PZ001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/남성/패션소품/모두보기/aren-비세토스-우주-토끼-참/MXZFATA04PZ001.html,캐주얼
